section,pdf_page,command,wire_prefix_hex,c_api,node_api,web_public_api,availability,c_source,node_source,web_source,notes
2.1,6,HT,09,munbyn_horizontal_tab,horizontalTab,horizontalTab,C/N/W,src/munbyn_printer.c:781,packages/node/lib/index.js:137,packages/web/src/printer.ts:168,Next configured tab stop
2.2,6,LF,0A,munbyn_line_feed,lineFeed,lineFeed,C/N/W,src/munbyn_printer.c:757,packages/node/lib/index.js:127,packages/web/src/printer.ts:158,Used in verified receipt
2.3,6,FF,0C,munbyn_form_feed,formFeed,formFeed,C/N/W,src/munbyn_printer.c:1806,packages/node/lib/index.js:407,packages/web/src/printer.ts:458,"Page print, clear, return to standard"
2.4,7,CR,0D,munbyn_carriage_return,carriageReturn,carriageReturn,C/N/W,src/munbyn_printer.c:769,packages/node/lib/index.js:132,packages/web/src/printer.ts:163,Effect depends on mode/settings
2.5,7,CAN,18,munbyn_cancel_page_data,cancelPageData,cancelPageData,C/N/W,src/munbyn_printer.c:1813,packages/node/lib/index.js:412,packages/web/src/printer.ts:463,Cancel page-mode buffer
2.6,7,DLE EOT n,10 04,munbyn_get_status,getStatus,getStatus,C/N/W,src/munbyn_printer.c:548,packages/node/lib/index.js:84,packages/web/src/printer.ts:79,Four groups queried; seven fields exposed; healthy replies verified
2.7,10,DLE ENQ n,10 05,munbyn_realtime_request,realtimeRequest,realtimeRequest,C/N/W,src/munbyn_printer.c:1915,packages/node/lib/index.js:461,packages/web/src/printer.ts:517,Recovery selectors 1/2
2.8,10,DLE DC4 1 m t,10 14 01,munbyn_realtime_drawer_pulse,realtimeDrawerPulse,realtimeDrawerPulse,C/N/W,src/munbyn_printer.c:1923,packages/node/lib/index.js:466,packages/web/src/printer.ts:522,Pin 0/1; t=1..8 in 100 ms units
2.9,11,ESC FF,1B 0C,munbyn_print_page_mode,printPageMode,printPageMode,C/N/W,src/munbyn_printer.c:1799,packages/node/lib/index.js:402,packages/web/src/printer.ts:453,"Print page buffer, stay in page mode"
2.10,11,ESC SP n,1B 20,munbyn_set_character_spacing,setCharacterSpacing,setCharacterSpacing,C/N/W,src/munbyn_printer.c:1172,packages/node/lib/index.js:244,packages/web/src/printer.ts:273,Right-side character spacing
2.11,12,ESC ! n,1B 21,munbyn_set_text_mode,setTextMode,setTextMode,C/N/W,src/munbyn_printer.c:1013,packages/node/lib/index.js:194,packages/web/src/printer.ts:222,Combined text-mode bitmask
2.12,13,ESC $ nL nH,1B 24,munbyn_set_absolute_horizontal_position,setAbsoluteHorizontalPosition,setAbsoluteHorizontalPosition,C/N/W,src/munbyn_printer.c:1396,packages/node/lib/index.js:305,packages/web/src/printer.ts:346,Absolute horizontal position
2.13,13,ESC % n,1B 25,munbyn_select_user_defined_charset,selectUserDefinedCharset,selectUserDefinedCharset,C/N/W,src/munbyn_printer.c:1866,packages/node/lib/index.js:444,packages/web/src/printer.ts:495,Select/cancel downloaded ASCII glyphs
2.14,14,ESC & ...,1B 26,munbyn_define_user_defined_chars,defineUserDefinedChars,defineUserDefinedChars,C/N/W,src/munbyn_printer.c:1873,packages/node/lib/index.js:449,packages/web/src/printer.ts:500,Codes 32..126; font A width <=12 / B <=9; browser printer tracks selected font
2.15,16,ESC * ...,1B 2A,munbyn_print_bit_image,printBitImage,printBitImage,C/N/W,src/munbyn_printer.c:1680,packages/node/lib/index.js:365,packages/web/src/printer.ts:416,Column data; modes 0/1/32/33
2.16,17,ESC - n,1B 2D,munbyn_set_underline,setUnderline,setUnderline,C/N/W,src/munbyn_printer.c:1074,packages/node/lib/index.js:214,packages/web/src/printer.ts:243,ASCII underline
2.17,18,ESC 2,1B 32,munbyn_set_line_spacing_default,setLineSpacingDefault,setLineSpacingDefault,C/N/W,src/munbyn_printer.c:1124,packages/node/lib/index.js:229,packages/web/src/printer.ts:258,Restore default line spacing
2.18,18,ESC 3 n,1B 33,munbyn_set_line_spacing,setLineSpacing,setLineSpacing,C/N/W,src/munbyn_printer.c:1136,packages/node/lib/index.js:234,packages/web/src/printer.ts:263,Custom line spacing
2.19,19,ESC = n,1B 3D,munbyn_set_peripheral_device,setPeripheralDevice,setPeripheralDevice,C/N/W,src/munbyn_printer.c:1859,packages/node/lib/index.js:439,packages/web/src/printer.ts:490,Peripheral selection bitmask
2.20,19,ESC ? n,1B 3F,munbyn_cancel_user_defined_char,cancelUserDefinedChar,cancelUserDefinedChar,C/N/W,src/munbyn_printer.c:1905,packages/node/lib/index.js:454,packages/web/src/printer.ts:510,Cancel one ASCII user glyph
2.21,19,ESC @,1B 40,munbyn_initialize,initialize,initialize,C/N/W,src/munbyn_printer.c:601,packages/node/lib/index.js:59,packages/web/src/printer.ts:54,Used in verified receipt
2.22,20,ESC D ... NUL,1B 44,munbyn_set_horizontal_tab_positions; munbyn_clear_horizontal_tab_positions,setHorizontalTabPositions; clearHorizontalTabPositions,setHorizontalTabPositions; clearHorizontalTabPositions,C/N/W,src/munbyn_printer.c:793; src/munbyn_printer.c:827,packages/node/lib/index.js:142; packages/node/lib/index.js:147,packages/web/src/printer.ts:173; packages/web/src/printer.ts:178,0..32 strictly ascending nonzero stops; empty list clears; all bindings validate
2.23,20,ESC E n,1B 45,munbyn_set_emphasis,setEmphasis,setEmphasis,C/N/W,src/munbyn_printer.c:1037,packages/node/lib/index.js:199,packages/web/src/printer.ts:228,Emphasis visibly verified
2.24,21,ESC G n,1B 47,munbyn_set_double_strike,setDoubleStrike,setDoubleStrike,C/N/W,src/munbyn_printer.c:1060,packages/node/lib/index.js:209,packages/web/src/printer.ts:238,Double-strike mode
2.25,21,ESC J n,1B 4A,munbyn_print_and_feed_units,printAndFeedUnits,printAndFeedUnits,C/N/W,src/munbyn_printer.c:1852,packages/node/lib/index.js:434,packages/web/src/printer.ts:485,Feed vertical motion units
2.26,22,ESC L,1B 4C,munbyn_select_page_mode,selectPageMode,selectPageMode,C/N/W,src/munbyn_printer.c:1785,packages/node/lib/index.js:392,packages/web/src/printer.ts:443,Enter page mode
2.27,22,ESC M n,1B 4D,munbyn_set_font,setFont,setFont,C/N/W,src/munbyn_printer.c:988,packages/node/lib/index.js:189,packages/web/src/printer.ts:216,Font A/B
2.28,22,ESC R n,1B 52,munbyn_set_international_charset,setInternationalCharset,setInternationalCharset,C/N/W,src/munbyn_printer.c:840,packages/node/lib/index.js:154,packages/web/src/printer.ts:185,0..15; PDF restricts 14/15 to Simplified Chinese models
2.29,23,ESC S,1B 53,munbyn_select_standard_mode,selectStandardMode,selectStandardMode,C/N/W,src/munbyn_printer.c:1792,packages/node/lib/index.js:397,packages/web/src/printer.ts:448,Return to standard mode
2.30,24,ESC T n,1B 54,munbyn_set_print_direction,setPrintDirection,setPrintDirection,C/N/W,src/munbyn_printer.c:1346,packages/node/lib/index.js:295,packages/web/src/printer.ts:336,Page-mode print direction
2.31,24,ESC V n,1B 56,munbyn_set_rotate_90,setRotate90,setRotate90,C/N/W,src/munbyn_printer.c:1218,packages/node/lib/index.js:261,packages/web/src/printer.ts:290,90-degree text rotation
2.32,25,ESC W ...,1B 57,munbyn_set_page_area,setPageArea,setPageArea,C/N/W,src/munbyn_printer.c:1820,packages/node/lib/index.js:417,packages/web/src/printer.ts:468,Page origin and dimensions
2.33,26,ESC \ nL nH,1B 5C,munbyn_set_relative_horizontal_position,setRelativeHorizontalPosition,setRelativeHorizontalPosition,C/N/W,src/munbyn_printer.c:1368,packages/node/lib/index.js:300,packages/web/src/printer.ts:341,Signed relative horizontal position
2.34,27,ESC a n,1B 61,munbyn_set_justification,setJustification,setJustification,C/N/W,src/munbyn_printer.c:962,packages/node/lib/index.js:170,packages/web/src/printer.ts:197,Centering visibly verified
2.35,27,ESC c 3 n,1B 63 33,munbyn_set_paper_end_sensors,setPaperEndSensors,setPaperEndSensors,C/N/W,src/munbyn_printer.c:1965,packages/node/lib/index.js:480,packages/web/src/printer.ts:545,PDF says parallel interface only
